,Name,City,MinPrice,MaxPrice,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices,Payment_Method
0,Le_Pré_Catelan,Paris,150,330,"Creative, Modern Cuisine",2.2507182,48.8639374,33144144114.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-pre-catelan,https://www.leprecatelan.com/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Garden or park,Mastercard credit card,Particularly interesting wine list,Valet parking,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card"
1,Alléno_Paris_au_Pavillon_Ledoyen,Paris,280,395,Creative,2.3164993,48.8660932,33153051000.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/alleno-paris-au-pavillon-ledoyen,https://www.yannick-alleno.com,3 MICHELIN Stars,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Valet parking,Visa credit card","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
2,Arpège,Paris,185,460,Creative,2.3169648,48.855731,33147050906.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/arpege,https://www.alain-passard.com/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
3,Épicure,Paris,350,395,Modern Cuisine,2.3143664,48.8717289,33153434340.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/epicure,https://www.oetkercollection.com/fr/hotels/le-bristol-paris/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Terrace,Valet parking,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card"
4,Plénitude_-_Cheval_Blanc_Paris,Paris,330,405,Creative,2.3421588,48.8588148,33179355011.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/plenitude-cheval-blanc-paris,https://www.chevalblanc.com/en/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Great view,Mastercard credit card,Particularly interesting wine list,Valet parking,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card"
5,Le_Cinq,Paris,450,530,Modern Cuisine,2.3008612,48.8687604,33149527154.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-cinq6102,https://www.fourseasons.com/paris/dining/restaurants/le_cinq/?seo=google_local_par2_emea,3 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Valet parking,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
6,Christopher_Coutanceau,La Rochelle,210,280,Seafood,-1.1609135,46.1557284,33546414819.0,https://guide.michelin.com/en/nouvelle-aquitaine/la-rochelle/restaurant/christopher-coutanceau,https://www.coutanceaularochelle.com/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Great view,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card"
7,Pic,Valence,350,350,Creative,4.8854965,44.9177848,33475441532.0,https://guide.michelin.com/en/auvergne-rhone-alpes/valence/restaurant/pic,https://anne-sophie-pic.com/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Garden or park,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card"
8,Kei,Paris,98,385,Modern Cuisine,2.3422847,48.8643947,33142331474.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/kei,https://www.restaurant-kei.fr/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
9,Maison_Lameloise,Chagny,85,260,Modern Cuisine,4.7530169,46.9079964,33385876565.0,https://guide.michelin.com/en/bourgogne-franche-comte/chagny/restaurant/maison-lameloise,https://www.lameloise.fr/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Visa credit card","American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card"
10,Pierre_Gagnaire,Paris,120,400,Creative,2.3003862,48.8732506,33158361250.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/pierre-gagnaire6112,https://pierregagnaire.com/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Valet parking,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
